nome_unidade;id_unidade;cep;logradouro;bairro;curso;resultado;resultado_motivo;distancia_media;distancia_minima;distancia_maxima
Ivaneide Nogueira, EMEB Profa.;74;9836560;RUA GAMELEIRA;TAQUACETUBA;INF;DEFERIDO;ÁREA RURAL;4550;2500;6800
Ivaneide Nogueira, EMEB Profa.;74;9836570;RUA CAMOMILA;TAQUACETUBA;INF;DEFERIDO;ÁREA RURAL;6066,666667;5900;6900
Ivaneide Nogueira, EMEB Profa.;74;9836580;RUA CAVIUNA;TAQUACETUBA;INF;DEFERIDO;ÁREA RURAL;6150;5900;6400
Ivaneide Nogueira, EMEB Profa.;74;9837150;ESTRADA ERNESTO ZABEU;TATETOS;INF;DEFERIDO;ÁREA RURAL;6142,857143;5200;7700
Ivaneide Nogueira, EMEB Profa.;74;9837154;RUA JOAO CLEM;TATETOS;INF;DEFERIDO;ÁREA RURAL;5250;5200;5300
Ivaneide Nogueira, EMEB Profa.;74;9837156;RUA SALVIANO MOREIRA DA SILVA;TATETOS;INF;DEFERIDO;ÁREA RURAL;5300;5300;5300
Ivaneide Nogueira, EMEB Profa.;74;9837160;RUA GENEROSO BARBOSA;TATETOS;INF;DEFERIDO;ÁREA RURAL;5760;5400;6300
Ivaneide Nogueira, EMEB Profa.;74;9837165;RUA DOMINGOS MENDES PEREIRA;TATETOS;INF;DEFERIDO;ÁREA RURAL;5666,666667;5600;5700
Ivaneide Nogueira, EMEB Profa.;74;9837170;RUA PEDRO ABEL NICOLAU FILHO;TATETOS;INF;DEFERIDO;ÁREA RURAL;5550;5000;6100
Ivaneide Nogueira, EMEB Profa.;74;9837200;ESTRADA ALBERTO SILVA;TATETOS;INF;DEFERIDO;ÁREA RURAL;6045,454545;5900;6300
Ivaneide Nogueira, EMEB Profa.;74;9837205;ESTRADA ALBERTO SILVA;TATETOS;INF;DEFERIDO;ÁREA RURAL;6009,090909;5800;6300
Ivaneide Nogueira, EMEB Profa.;74;9837209;TRAVESSA TEREZA DE CAMPOS VIDAL;TATETOS;INF;DEFERIDO;ÁREA RURAL;6440;5000;11200
Ivaneide Nogueira, EMEB Profa.;74;9837211;RUA FRANCISCO LUIZ NUNES;TATETOS;INF;DEFERIDO;ÁREA RURAL;5180;2400;6200
Ivaneide Nogueira, EMEB Profa.;74;9837215;RUA HILDA MARTHA DO PRADO DE OLIVEIRA;TATETOS;INF;DEFERIDO;ÁREA RURAL;5666,666667;5600;5800
Ivaneide Nogueira, EMEB Profa.;74;9837230;RUA ROQUE PELISSARI;TATETOS;INF;DEFERIDO;ÁREA RURAL;5846,153846;5800;6000
Ivaneide Nogueira, EMEB Profa.;74;9837245;RUA BENEDITO CIPRIANO DE MORAES;TATETOS;INF;DEFERIDO;ÁREA RURAL;5557,142857;5300;5800
Ivaneide Nogueira, EMEB Profa.;74;9837250;ESTRADA ERNESTO ZABEU;TATETOS;INF;DEFERIDO;ÁREA RURAL;6133,333333;5300;6700
Ivaneide Nogueira, EMEB Profa.;74;9837350;ESTRADA ERNESTO ZABEU;TATETOS;INF;DEFERIDO;ÁREA RURAL;5700;5300;6400
Ivaneide Nogueira, EMEB Profa.;74;9837400;ESTRADA ARACARI;TATETOS;INF;DEFERIDO;ÁREA RURAL;6700;6600;6800
Ivaneide Nogueira, EMEB Profa.;74;9837450;ESTRADA ARACARI;TATETOS;INF;DEFERIDO;ÁREA RURAL;6400;6100;6600
Ivaneide Nogueira, EMEB Profa.;74;9837480;ESTRADA TAMANDUA BANDEIRA;TATETOS;INF;DEFERIDO;ÁREA RURAL;6533,333333;6200;6700
Ivaneide Nogueira, EMEB Profa.;74;9837650;ESTRADA ERNESTO ZABEU;TATETOS;INF;DEFERIDO;ÁREA RURAL;6000;5500;6500
Ivaneide Nogueira, EMEB Profa.;74;9838050;RUA DO PEIXE;CAPIVARI;INF;DEFERIDO;ÁREA RURAL;7583,333333;7400;7700
Ivaneide Nogueira, EMEB Profa.;74;9838060;RUA CARLOS WALL;CAPIVARI;INF;DEFERIDO;ÁREA RURAL;6622,222222;1000;7400
Ivaneide Nogueira, EMEB Profa.;74;9838090;RUA ANTONIO DA SILVA COSTA;CAPIVARI;INF;DEFERIDO;ÁREA RURAL;7180;7100;7200
Ivaneide Nogueira, EMEB Profa.;74;9838150;ESTRADA DO PAPAGAIO;CAPIVARI;INF;DEFERIDO;ÁREA RURAL;6214,285714;5800;6700
Ivaneide Nogueira, EMEB Profa.;74;9838159;RUA ADELINO SANTOS;CAPIVARI;INF;DEFERIDO;ÁREA RURAL;5850;5500;6600
Ivaneide Nogueira, EMEB Profa.;74;9838300;ESTRADA CAPIVARI;CAPIVARI;INF;DEFERIDO;ÁREA RURAL;6760;4600;7700
Ivaneide Nogueira, EMEB Profa.;74;9838300;ESTRADA CAPIVARI;TATETOS;INF;DEFERIDO;ÁREA RURAL;6760;4600;7700
Ivaneide Nogueira, EMEB Profa.;74;9838350;ESTRADA CAPIVARI;CAPIVARI;INF;DEFERIDO;ÁREA RURAL;7150;7000;7300
Ivaneide Nogueira, EMEB Profa.;74;9838390;ESTRADA CAPIVARI;CAPIVARI;INF;DEFERIDO;ÁREA RURAL;8800;7700;10900
Ivaneide Nogueira, EMEB Profa.;74;9835600;ESTRADA DO RIO ACIMA;CURUCUTU;INF;DEFERIDO;ÁREA RURAL;650;550;750
Jandira Maria Casonato, EMEB Profa.;76;9695100;RUA FREI DAMIAO;PAULICEIA;FUND;DEFERIDO;DISTÂNCIA MAIOR QUE 1500 METROS;2000;2000;2000
Mariana Benvinda da Costa, EMEB;116;9782450;RUA YASMIN;FERRAZOPOLIS;INF;DEFERIDO;DIFICULDADE DE ACESSO;1185,714286;1000;1400
Mariana Benvinda da Costa, EMEB;116;9781660;TRAVESSA JOSE MARTINS;FERRAZOPOLIS;INF;DEFERIDO;DIFICULDADE DE ACESSO;835;750;900
Janete Mally Betti Simoes, EMEB Profa.;77;9761210;RUA CORA CORALINA;INDUSTRIAL;FUND;INDEFERIDO;DISTÂNCIA MENOR QUE 1500 METROS;465;170;600
Mario Martins de Almeida, EMEB;120;9720270;RUA DE PINEDO;CENTRO;FUND;DEFERIDO;DIFICULDADE DE ACESSO;1300;800;1500
Mauricio Caetano de Castro I, EMEB;121;9782510;RUA MANOEL VITALDO CARMO;FERRAZOPOLIS;INF;DEFERIDO;DIFICULDADE DE ACESSO;942,8571429;800;1700
Mauricio Caetano de Castro I, EMEB;121;9782450;RUA YASMIN;FERRAZOPOLIS;INF;DEFERIDO;DIFICULDADE DE ACESSO;1168,75;500;4700
Mauricio Caetano de Castro II, EMEB;122;9855650;RUA CARAMBOLA;ALVES DIAS;FUND;DEFERIDO;DIFICULDADE DE ACESSO;1330;1200;1400
Mauricio Caetano de Castro II, EMEB;122;9855610;RUA JARACATIA;ALVES DIAS;FUND;DEFERIDO;DIFICULDADE DE ACESSO;1300;1100;2200
Nilo Campos Gomes, EMEB Prof.;128;9791100;AVENIDA VISCONDE DE CAIRU;FERRAZOPOLIS;FUND;DEFERIDO;DIFICULDADE DE ACESSO;765;600;850
Nilo Campos Gomes, EMEB Prof.;128;9790408;RUA FLOR DE PRIMAVERA;FERRAZOPOLIS;FUND;DEFERIDO;DIFICULDADE DE ACESSO;1153,125;900;1300
Nilo Campos Gomes, EMEB Prof.;128;9790408;RUA FLOR DE PRIMAVERA;JARDIM  SILVINA;FUND;DEFERIDO;DIFICULDADE DE ACESSO;1153,125;900;1300
